,时间,最终排名,实时预测排名,平均绝对误差,均方误差
0,1592294397.87,1,[0.75638957],0.24361043014227213,0.059346041674102845
1,1592294407.87,1,[0.75812162],0.24187837793281253,0.05850514971140849
2,1592294417.87,1,[0.69225785],0.3077421457389864,0.09470522826403555
3,1592294427.87,1,[0.68760375],0.3123962473650701,0.09759141536777807
4,1592294437.87,1,[0.70449584],0.2955041636288678,0.08732271072199667
5,1592294447.87,1,[0.73376605],0.2662339516517387,0.07088051701210034
6,1592294457.87,1,[0.67250578],0.32749421946445445,0.10725246378263226
7,1592294467.87,1,[0.66848508],0.3315149183273852,0.10990214107361289
8,1592294477.87,1,[0.679502],0.32049800178291854,0.10271896914684366
9,1592294487.87,1,[0.73493199],0.26506800590379764,0.0702610477538157
10,1592294497.87,1,[0.71809669],0.28190330594142665,0.07946947390070559
11,1592294507.87,1,[0.70378664],0.29621335984354313,0.08774235454980037
12,1592294517.87,1,[0.71149513],0.28850487313843787,0.08323506182462613
13,1592294527.87,1,[0.68700713],0.31299287451206426,0.0979645394953248
14,1592294537.87,1,[0.69917856],0.30082144263375743,0.090493540348255
15,1592294547.87,1,[0.71724013],0.28275987049322004,0.07995314436134257
16,1592294557.87,1,[0.7065543],0.29344570382655344,0.08611038109426132
17,1592294567.87,1,[0.70194589],0.298054109132493,0.08883625197076403
18,1592294577.87,1,[0.72919355],0.27080645058243547,0.07333613367705706
19,1592294587.87,1,[0.70956935],0.2904306540468867,0.0843499648101024
20,1592294597.87,1,[0.71924186],0.28075814051874837,0.07882513346754526
21,1592294607.87,1,[0.71823074],0.28176925956636734,0.0793939156365789
22,1592294617.87,1,[0.70606951],0.2939304877409705,0.08639513162364483
23,1592294627.87,1,[0.75341311],0.24658688923259464,0.0608050939414079
24,1592294637.87,1,[0.7488386],0.2511613955808081,0.06308204663009916
25,1592294647.87,1,[0.73029946],0.26970054419191924,0.07273838353741739
26,1592294657.87,1,[0.72621099],0.27378900847763354,0.07496042116316569
27,1592294667.87,1,[0.72694518],0.2730548152958152,0.07455893215623176
28,1592294677.87,1,[0.72093977],0.279060225559163,0.07787460948913093
29,1592294687.87,1,[0.71566246],0.2843375440115441,0.08084783893451677
30,1592294697.87,1,[0.69736175],0.3026382463924965,0.0915899081795254
31,1592294707.87,1,[0.69359375],0.30640624639249636,0.09388478782833919
32,1592294717.87,1,[0.71751444],0.2824855588924965,0.0797980909828061
33,1592294727.87,1,[0.73504918],0.2649508178210679,0.07019893586405271
34,1592294737.87,1,[0.7366929],0.26330709862382606,0.06933062818569727
35,1592294747.87,1,[0.75695049],0.24304951454142254,0.05907306651882117
36,1592294757.87,1,[0.75144185],0.24855815374596824,0.06178115579360438
37,1592294767.87,1,[0.73398458],0.2660154244519777,0.07076420604636584
38,1592294777.87,1,[0.70326858],0.2967314155234063,0.08804953295852441
39,1592294787.87,1,[0.73803221],0.2619677919629614,0.06862712402594942
40,1592294797.87,1,[0.74297923],0.25702077273745494,0.06605967761855847
41,1592294807.87,1,[0.74461239],0.25538760607078825,0.06522282933456812
42,1592294817.87,1,[0.73188892],0.26811108424707575,0.07188355349614255
43,1592294827.87,1,[0.7701104],0.22988960204706654,0.05284922912935862
44,1592294837.87,1,[0.76340126],0.23659873746373294,0.055978962569432425
45,1592294847.87,1,[0.77123999],0.2287600117692884,0.05233114298468496
46,1592294857.87,1,[0.768254],0.231746002840717,0.053706209832649614
47,1592294867.87,1,[0.75818329],0.24181671018198703,0.058475321323239106
48,1592294877.87,1,[0.75843225],0.24156775184865364,0.05835497873321271
49,1592294887.87,1,[0.75140874],0.24859126176928847,0.061797615428046904
50,1592294897.87,1,[0.75515317],0.24484683319785994,0.05994997172702065
51,1592294907.87,1,[0.75808763],0.24191236891214585,0.05852159423268615
52,1592294917.87,1,[0.75914364],0.24085635700738384,0.05801178471086834
53,1592294927.87,1,[0.75817056],0.24182944331690748,0.05848147965496537
54,1592294937.87,1,[0.75491784],0.2450821592259984,0.06006526477087764
55,1592294947.87,1,[0.75751801],0.24248199156726824,0.05879751623442875
56,1592294957.87,1,[0.7418923],0.2581076967427097,0.0666195831178266
57,1592294967.87,1,[0.73146323],0.26853677114747154,0.0721119974583095
58,1592294977.87,1,[0.72396093],0.276039067684268,0.07619756688799989
